   PHI1    PHI2     PHI       ODF
   90.00   35.00    0.00   0.213393E+00
    0.00   40.00    0.00   0.271718E+00
    5.00   40.00    0.00   0.269181E+00
   10.00   40.00    0.00   0.271752E+00
   15.00   40.00    0.00   0.221051E+00
   20.00   40.00    0.00   0.227195E+00
   25.00   40.00    0.00   0.205846E+00
   30.00   40.00    0.00   0.136341E+00
   35.00   40.00    0.00   0.423676E+01
   40.00   40.00    0.00   0.236625E+01
   45.00   40.00    0.00   0.208782E+01
   50.00   40.00    0.00   0.232236E+01
   55.00   40.00    0.00   0.211087E+01
   60.00   40.00    0.00   0.201361E+01
   65.00   40.00    0.00   0.422600E+01
   70.00   40.00    0.00   0.129905E+00
   75.00   40.00    0.00   0.194403E+00
   80.00   40.00    0.00   0.234427E+00
   85.00   40.00    0.00   0.213331E+00
   90.00   40.00    0.00   0.266469E+00
    0.00   45.00    0.00   0.269295E+00
    5.00   45.00    0.00   0.271671E+00
   10.00   45.00    0.00   0.221027E+00
   15.00   45.00    0.00   0.227099E+00
   20.00   45.00    0.00   0.205785E+00
   25.00   45.00    0.00   0.136255E+00
   30.00   45.00    0.00   0.424095E+01
   35.00   45.00    0.00   0.236692E+01
   40.00   45.00    0.00   0.208844E+01
   45.00   45.00    0.00   0.232107E+01
   50.00   45.00    0.00   0.211146E+01
   55.00   45.00    0.00   0.201345E+01
   60.00   45.00    0.00   0.423645E+01
   65.00   45.00    0.00   0.129893E+00
   70.00   45.00    0.00   0.194588E+00
   75.00   45.00    0.00   0.234429E+00
   80.00   45.00    0.00   0.213394E+00
   85.00   45.00    0.00   0.266520E+00
   90.00   45.00    0.00   0.271159E+00
    0.00   50.00    0.00   0.271718E+00
    5.00   50.00    0.00   0.221051E+00
   10.00   50.00    0.00   0.226947E+00
   15.00   50.00    0.00   0.205715E+00
   20.00   50.00    0.00   0.136233E+00
   25.00   50.00    0.00   0.424086E+01
   30.00   50.00    0.00   0.236772E+01
   35.00   50.00    0.00   0.208898E+01
   40.00   50.00    0.00   0.231987E+01
   45.00   50.00    0.00   0.211156E+01
   50.00   50.00    0.00   0.201353E+01
   55.00   50.00    0.00   0.423933E+01
   60.00   50.00    0.00   0.129933E+00
   65.00   50.00    0.00   0.194747E+00
   70.00   50.00    0.00   0.234399E+00
   75.00   50.00    0.00   0.213471E+00
   80.00   50.00    0.00   0.266508E+00
   85.00   50.00    0.00   0.271138E+00
   90.00   50.00    0.00   0.266470E+00
    0.00   55.00    0.00   0.221222E+00
    5.00   55.00    0.00   0.226893E+00
   10.00   55.00    0.00   0.205884E+00
   15.00   55.00    0.00   0.136302E+00
   20.00   55.00    0.00   0.423979E+01
   25.00   55.00    0.00   0.236817E+01
   30.00   55.00    0.00   0.208834E+01
   35.00   55.00    0.00   0.231917E+01
   40.00   55.00    0.00   0.211239E+01
   45.00   55.00    0.00   0.201404E+01
   50.00   55.00    0.00   0.423863E+01
   55.00   55.00    0.00   0.129968E+00
   60.00   55.00    0.00   0.194646E+00
   65.00   55.00    0.00   0.234235E+00
   70.00   55.00    0.00   0.213517E+00
   75.00   55.00    0.00   0.266427E+00
   80.00   55.00    0.00   0.271172E+00
   85.00   55.00    0.00   0.266566E+00
   90.00   55.00    0.00   0.213393E+00
    0.00   60.00    0.00   0.226996E+00
    5.00   60.00    0.00   0.205913E+00
   10.00   60.00    0.00   0.136296E+00
   15.00   60.00    0.00   0.292963E+01
   20.00   60.00    0.00   0.236820E+01
