   PHI1    PHI2     PHI       ODF
   10.00   20.00   20.00   0.154451E+01
   15.00   20.00   20.00   0.145496E+01
   20.00   20.00   20.00   0.150553E+01
   25.00   20.00   20.00   0.143805E+01
   30.00   20.00   20.00   0.134756E+01
   35.00   20.00   20.00   0.133596E+01
   40.00   20.00   20.00   0.139414E+00
   45.00   20.00   20.00   0.151713E+00
   50.00   20.00   20.00   0.184770E+00
   55.00   20.00   20.00   0.196170E+00
   60.00   20.00   20.00   0.201427E+00
   65.00   20.00   20.00   0.204190E+00
   70.00   20.00   20.00   0.179605E+00
   75.00   20.00   20.00   0.193982E+00
   80.00   20.00   20.00   0.172138E+00
   85.00   20.00   20.00   0.165001E+00
   90.00   20.00   20.00   0.111594E+01
    0.00   25.00   20.00   0.105385E+00
    5.00   25.00   20.00   0.124815E+00
   10.00   25.00   20.00   0.158006E+01
   15.00   25.00   20.00   0.150626E+01
   20.00   25.00   20.00   0.105907E+00
   25.00   25.00   20.00   0.115101E+00
   30.00   25.00   20.00   0.132457E+01
   35.00   25.00   20.00   0.119342E+00
   40.00   25.00   20.00   0.126292E+00
   45.00   25.00   20.00   0.149382E+00
   50.00   25.00   20.00   0.169872E+00
   55.00   25.00   20.00   0.164559E+00
   60.00   25.00   20.00   0.162242E+00
   65.00   25.00   20.00   0.157199E+00
   70.00   25.00   20.00   0.159207E+00
   75.00   25.00   20.00   0.146228E+00
   80.00   25.00   20.00   0.139068E+00
   85.00   25.00   20.00   0.117641E+01
   90.00   25.00   20.00   0.129754E+01
    0.00   30.00   20.00   0.116682E+00
    5.00   30.00   20.00   0.170821E+01
   10.00   30.00   20.00   0.134908E+00
   15.00   30.00   20.00   0.115192E+00
   20.00   30.00   20.00   0.127517E+00
   25.00   30.00   20.00   0.154197E+01
   30.00   30.00   20.00   0.106546E+00
   35.00   30.00   20.00   0.106178E+00
   40.00   30.00   20.00   0.125252E+00
   45.00   30.00   20.00   0.140547E+00
   50.00   30.00   20.00   0.142028E+00
   55.00   30.00   20.00   0.137275E+00
   60.00   30.00   20.00   0.134658E+00
   65.00   30.00   20.00   0.139440E+00
   70.00   30.00   20.00   0.132032E+00
   75.00   30.00   20.00   0.127126E+00
   80.00   30.00   20.00   0.126580E+01
   85.00   30.00   20.00   0.151537E+01
   90.00   30.00   20.00   0.161144E+01
    0.00   35.00   20.00   0.168731E+01
    5.00   35.00   20.00   0.186678E+01
   10.00   35.00   20.00   0.191375E+01
   15.00   35.00   20.00   0.169106E+01
   20.00   35.00   20.00   0.160906E+01
   25.00   35.00   20.00   0.151343E+01
   30.00   35.00   20.00   0.128741E+01
   35.00   35.00   20.00   0.117972E+01
   40.00   35.00   20.00   0.937979E-01
   45.00   35.00   20.00   0.864085E-01
   50.00   35.00   20.00   0.945084E-01
   55.00   35.00   20.00   0.932077E-01
   60.00   35.00   20.00   0.913043E-01
   65.00   35.00   20.00   0.997950E-01
   70.00   35.00   20.00   0.140615E+01
   75.00   35.00   20.00   0.150705E+01
   80.00   35.00   20.00   0.171050E+01
   85.00   35.00   20.00   0.182603E+01
   90.00   35.00   20.00   0.161674E+01
    0.00   40.00   20.00   0.140032E+01
    5.00   40.00   20.00   0.147178E+01
   10.00   40.00   20.00   0.143127E+01
   15.00   40.00   20.00   0.122640E+01
   20.00   40.00   20.00   0.116656E+01
   25.00   40.00   20.00   0.101469E+01
   30.00   40.00   20.00   0.869316E+00
   35.00   40.00   20.00   0.843684E+00
   40.00   40.00   20.00   0.820998E+00
   45.00   40.00   20.00   0.835174E+00
   50.00   40.00   20.00   0.941616E+00
   55.00   40.00   20.00   0.922317E+00
   60.00   40.00   20.00   0.104959E+01
   65.00   40.00   20.00   0.113107E+01
   70.00   40.00   20.00   0.126943E+01
   75.00   40.00   20.00   0.143380E+01
   80.00   40.00   20.00   0.150391E+01
   85.00   40.00   20.00   0.155937E+01
   90.00   40.00   20.00   0.153100E+01
    0.00   45.00   20.00   0.122583E+01
    5.00   45.00   20.00   0.124395E+01
   10.00   45.00   20.00   0.117191E+01
   15.00   45.00   20.00   0.959859E+00
   20.00   45.00   20.00   0.874828E+00
   25.00   45.00   20.00   0.113100E+00
   30.00   45.00   20.00   0.100153E+00
   35.00   45.00   20.00   0.120925E+00
   40.00   45.00   20.00   0.134619E+00
   45.00   45.00   20.00   0.138935E+00
   50.00   45.00   20.00   0.150427E+00
   55.00   45.00   20.00   0.161638E+00
   60.00   45.00   20.00   0.144036E+00
   65.00   45.00   20.00   0.132550E+00
   70.00   45.00   20.00   0.148028E+00
   75.00   45.00   20.00   0.136041E+01
   80.00   45.00   20.00   0.152430E+01
   85.00   45.00   20.00   0.135968E+01
   90.00   45.00   20.00   0.147715E+01
    0.00   50.00   20.00   0.140032E+01
    5.00   50.00   20.00   0.135470E+01
   10.00   50.00   20.00   0.119763E+01
   15.00   50.00   20.00   0.639999E-01
   20.00   50.00   20.00   0.564986E-01
   25.00   50.00   20.00   0.487883E-01
   30.00   50.00   20.00   0.608711E-01
   35.00   50.00   20.00   0.652344E-01
   40.00   50.00   20.00   0.666410E-01
   45.00   50.00   20.00   0.723435E-01
   50.00   50.00   20.00   0.870442E-01
   55.00   50.00   20.00   0.725066E-01
   60.00   50.00   20.00   0.638887E-01
   65.00   50.00   20.00   0.771940E-01
   70.00   50.00   20.00   0.180773E+01
   75.00   50.00   20.00   0.170681E+01
   80.00   50.00   20.00   0.143391E+01
   85.00   50.00   20.00   0.151937E+01
   90.00   50.00   20.00   0.153100E+01
    0.00   55.00   20.00   0.168731E+01
    5.00   55.00   20.00   0.152866E+01
   10.00   55.00   20.00   0.798533E-01
   15.00   55.00   20.00   0.728699E-01
   20.00   55.00   20.00   0.714857E-01
   25.00   55.00   20.00   0.878115E-01
   30.00   55.00   20.00   0.910652E-01
   35.00   55.00   20.00   0.959865E-01
   40.00   55.00   20.00   0.102744E+00
   45.00   55.00   20.00   0.114632E+00
   50.00   55.00   20.00   0.105215E+00
   55.00   55.00   20.00   0.884209E-01
   60.00   55.00   20.00   0.934610E-01
   65.00   55.00   20.00   0.241274E+01
   70.00   55.00   20.00   0.232148E+01
   75.00   55.00   20.00   0.163776E+01
   80.00   55.00   20.00   0.154286E+01
   85.00   55.00   20.00   0.180494E+01
   90.00   55.00   20.00   0.161674E+01
    0.00   60.00   20.00   0.116682E+00
    5.00   60.00   20.00   0.970469E-01
   10.00   60.00   20.00   0.952387E-01
   15.00   60.00   20.00   0.102647E+00
   20.00   60.00   20.00   0.131842E+00
   25.00   60.00   20.00   0.139804E+00
   30.00   60.00   20.00   0.154339E+00
   35.00   60.00   20.00   0.158031E+00
   40.00   60.00   20.00   0.163606E+00
   45.00   60.00   20.00   0.147355E+00
   50.00   60.00   20.00   0.130482E+00
   55.00   60.00   20.00   0.115578E+00
   60.00   60.00   20.00   0.231215E+01
   65.00   60.00   20.00   0.218158E+01
   70.00   60.00   20.00   0.173871E+01
   75.00   60.00   20.00   0.154152E+01
   80.00   60.00   20.00   0.172566E+01
   85.00   60.00   20.00   0.157393E+01
   90.00   60.00   20.00   0.161144E+01
    0.00   65.00   20.00   0.105385E+00
    5.00   65.00   20.00   0.107643E+00
   10.00   65.00   20.00   0.126702E+00
   15.00   65.00   20.00   0.158991E+00
   20.00   65.00   20.00   0.176555E+00
   25.00   65.00   20.00   0.199854E+00
   30.00   65.00   20.00   0.192323E+00
   35.00   65.00   20.00   0.187906E+00
   40.00   65.00   20.00   0.168736E+00
   45.00   65.00   20.00   0.145444E+00
   50.00   65.00   20.00   0.130758E+00
   55.00   65.00   20.00   0.129140E+00
   60.00   65.00   20.00   0.205992E+01
   65.00   65.00   20.00   0.206307E+01
   70.00   65.00   20.00   0.166683E+01
   75.00   65.00   20.00   0.163008E+01
   80.00   65.00   20.00   0.164889E+01
   85.00   65.00   20.00   0.150701E+01
   90.00   65.00   20.00   0.129754E+01
    0.00   70.00   20.00   0.131758E+00
    5.00   70.00   20.00   0.160826E+00
   10.00   70.00   20.00   0.205708E+00
   15.00   70.00   20.00   0.225478E+00
   20.00   70.00   20.00   0.267813E+00
   25.00   70.00   20.00   0.244041E+00
   30.00   70.00   20.00   0.225450E+00
   35.00   70.00   20.00   0.195999E+00
   40.00   70.00   20.00   0.165639E+00
   45.00   70.00   20.00   0.137069E+00
   50.00   70.00   20.00   0.155859E+00
   55.00   70.00   20.00   0.208667E+01
   60.00   70.00   20.00   0.208671E+01
   65.00   70.00   20.00   0.201333E+01
   70.00   70.00   20.00   0.173565E+01
   75.00   70.00   20.00   0.166568E+01
   80.00   70.00   20.00   0.139315E+01
   85.00   70.00   20.00   0.126442E+01
   90.00   70.00   20.00   0.111594E+01
    0.00   75.00   20.00   0.174606E+00
    5.00   75.00   20.00   0.215072E+00
   10.00   75.00   20.00   0.240758E+00
   15.00   75.00   20.00   0.273837E+00
   20.00   75.00   20.00   0.251493E+00
   25.00   75.00   20.00   0.233827E+00
   30.00   75.00   20.00   0.194352E+00
   35.00   75.00   20.00   0.158473E+00
   40.00   75.00   20.00   0.129241E+00
   45.00   75.00   20.00   0.148891E+00
   50.00   75.00   20.00   0.208012E+01
   55.00   75.00   20.00   0.191146E+01
   60.00   75.00   20.00   0.180625E+01
   65.00   75.00   20.00   0.164537E+01
   70.00   75.00   20.00   0.146852E+01
   75.00   75.00   20.00   0.125137E+01
   80.00   75.00   20.00   0.108195E+01
   85.00   75.00   20.00   0.104715E+01
   90.00   75.00   20.00   0.165004E+00
    0.00   80.00   20.00   0.247503E+00
    5.00   80.00   20.00   0.272453E+00
   10.00   80.00   20.00   0.317627E+00
   15.00   80.00   20.00   0.281718E+00
   20.00   80.00   20.00   0.262333E+00
   25.00   80.00   20.00   0.222885E+00
   30.00   80.00   20.00   0.173925E+00
   35.00   80.00   20.00   0.132747E+00
   40.00   80.00   20.00   0.180548E+01
   45.00   80.00   20.00   0.176113E+01
   50.00   80.00   20.00   0.182874E+01
   55.00   80.00   20.00   0.161472E+01
   60.00   80.00   20.00   0.142426E+01
   65.00   80.00   20.00   0.126713E+01
   70.00   80.00   20.00   0.118815E+01
   75.00   80.00   20.00   0.103808E+01
   80.00   80.00   20.00   0.152807E+00
   85.00   80.00   20.00   0.184087E+00
   90.00   80.00   20.00   0.197898E+00
    0.00   85.00   20.00   0.276421E+00
    5.00   85.00   20.00   0.317264E+00
   10.00   85.00   20.00   0.280096E+00
   15.00   85.00   20.00   0.257743E+00
   20.00   85.00   20.00   0.220997E+00
   25.00   85.00   20.00   0.170562E+00
   30.00   85.00   20.00   0.127068E+00
   35.00   85.00   20.00   0.162885E+01
   40.00   85.00   20.00   0.156630E+01
   45.00   85.00   20.00   0.152525E+01
   50.00   85.00   20.00   0.151673E+01
   55.00   85.00   20.00   0.128045E+01
   60.00   85.00   20.00   0.113692E+01
   65.00   85.00   20.00   0.109061E+01
   70.00   85.00   20.00   0.100316E+01
   75.00   85.00   20.00   0.160389E+00
   80.00   85.00   20.00   0.183441E+00
   85.00   85.00   20.00   0.198271E+00
   90.00   85.00   20.00   0.215346E+00
    0.00   90.00   20.00   0.315926E+00
    5.00   90.00   20.00   0.271177E+00
   10.00   90.00   20.00   0.255782E+00
   15.00   90.00   20.00   0.210002E+00
   20.00   90.00   20.00   0.165664E+00
   25.00   90.00   20.00   0.123739E+00
   30.00   90.00   20.00   0.139288E+01
   35.00   90.00   20.00   0.133739E+01
   40.00   90.00   20.00   0.129555E+01
   45.00   90.00   20.00   0.119867E+01
   50.00   90.00   20.00   0.121318E+01
   55.00   90.00   20.00   0.103649E+01
   60.00   90.00   20.00   0.100989E+01
   65.00   90.00   20.00   0.143816E+00
   70.00   90.00   20.00   0.168359E+00
   75.00   90.00   20.00   0.190018E+00
   80.00   90.00   20.00   0.197019E+00
   85.00   90.00   20.00   0.214378E+00
   90.00   90.00   20.00   0.181276E+00
    0.00    0.00   25.00   0.215110E+00
    5.00    0.00   25.00   0.241768E+00
   10.00    0.00   25.00   0.269642E+00
   15.00    0.00   25.00   0.198372E+00
   20.00    0.00   25.00   0.123359E+01
   25.00    0.00   25.00   0.116757E+01
   30.00    0.00   25.00   0.115363E+01
   35.00    0.00   25.00   0.112127E+01
   40.00    0.00   25.00   0.110252E+01
   45.00    0.00   25.00   0.830685E+00
   50.00    0.00   25.00   0.687141E+00
   55.00    0.00   25.00   0.995855E+00
   60.00    0.00   25.00   0.926554E+00
   65.00    0.00   25.00   0.104148E+01
   70.00    0.00   25.00   0.898947E+00
   75.00    0.00   25.00   0.231273E+00
   80.00    0.00   25.00   0.255948E+00
   85.00    0.00   25.00   0.235467E+00
   90.00    0.00   25.00   0.254829E+00
    0.00    5.00   25.00   0.257566E+00
    5.00    5.00   25.00   0.253446E+00
   10.00    5.00   25.00   0.183632E+00
   15.00    5.00   25.00   0.122521E+01
   20.00    5.00   25.00   0.114198E+01
   25.00    5.00   25.00   0.112679E+01
   30.00    5.00   25.00   0.105281E+01
   35.00    5.00   25.00   0.103720E+01
   40.00    5.00   25.00   0.940874E+00
   45.00    5.00   25.00   0.738131E+00
   50.00    5.00   25.00   0.653110E+00
   55.00    5.00   25.00   0.110504E+01
   60.00    5.00   25.00   0.113885E+01
   65.00    5.00   25.00   0.116674E+01
   70.00    5.00   25.00   0.244845E+00
   75.00    5.00   25.00   0.256429E+00
   80.00    5.00   25.00   0.248106E+00
   85.00    5.00   25.00   0.241083E+00
   90.00    5.00   25.00   0.248326E+00
    0.00   10.00   25.00   0.252900E+00
    5.00   10.00   25.00   0.111733E+01
   10.00   10.00   25.00   0.112059E+01
   15.00   10.00   25.00   0.112157E+01
   20.00   10.00   25.00   0.107976E+01
   25.00   10.00   25.00   0.993919E+00
   30.00   10.00   25.00   0.924564E+00
   35.00   10.00   25.00   0.916897E+00
   40.00   10.00   25.00   0.904233E+00
   45.00   10.00   25.00   0.776691E+00
   50.00   10.00   25.00   0.129890E+01
   55.00   10.00   25.00   0.124174E+01
   60.00   10.00   25.00   0.633505E+00
   65.00   10.00   25.00   0.274568E+00
   70.00   10.00   25.00   0.268413E+00
   75.00   10.00   25.00   0.246558E+00
   80.00   10.00   25.00   0.251980E+00
   85.00   10.00   25.00   0.232827E+00
   90.00   10.00   25.00   0.256543E+00
    0.00   15.00   25.00   0.172397E+00
    5.00   15.00   25.00   0.134225E+01
   10.00   15.00   25.00   0.135532E+01
   15.00   15.00   25.00   0.139219E+01
   20.00   15.00   25.00   0.127930E+01
   25.00   15.00   25.00   0.119363E+01
   30.00   15.00   25.00   0.116719E+01
   35.00   15.00   25.00   0.119808E+01
   40.00   15.00   25.00   0.118275E+01
   45.00   15.00   25.00   0.101688E+01
   50.00   15.00   25.00   0.215388E+00
   55.00   15.00   25.00   0.248575E+00
   60.00   15.00   25.00   0.285196E+00
   65.00   15.00   25.00   0.280096E+00
   70.00   15.00   25.00   0.256883E+00
   75.00   15.00   25.00   0.248447E+00
   80.00   15.00   25.00   0.254225E+00
   85.00   15.00   25.00   0.249796E+00
   90.00   15.00   25.00   0.235739E+00
    0.00   20.00   25.00   0.151581E+01
    5.00   20.00   25.00   0.145177E+01
   10.00   20.00   25.00   0.149796E+01
   15.00   20.00   25.00   0.157678E+01
   20.00   20.00   25.00   0.148125E+01
   25.00   20.00   25.00   0.147850E+01
   30.00   20.00   25.00   0.145255E+01
   35.00   20.00   25.00   0.147822E+01
   40.00   20.00   25.00   0.251119E+00
   45.00   20.00   25.00   0.233908E+00
   50.00   20.00   25.00   0.260793E+00
   55.00   20.00   25.00   0.302507E+00
   60.00   20.00   25.00   0.295243E+00
   65.00   20.00   25.00   0.273264E+00
   70.00   20.00   25.00   0.262948E+00
   75.00   20.00   25.00   0.263216E+00
   80.00   20.00   25.00   0.266281E+00
   85.00   20.00   25.00   0.229277E+00
   90.00   20.00   25.00   0.108272E+01
    0.00   25.00   25.00   0.151470E+01
    5.00   25.00   25.00   0.146875E+01
   10.00   25.00   25.00   0.158122E+01
   15.00   25.00   25.00   0.167415E+01
   20.00   25.00   25.00   0.162978E+01
   25.00   25.00   25.00   0.162763E+01
   30.00   25.00   25.00   0.233671E+00
   35.00   25.00   25.00   0.232036E+00
   40.00   25.00   25.00   0.238362E+00
   45.00   25.00   25.00   0.265951E+00
   50.00   25.00   25.00   0.290756E+00
   55.00   25.00   25.00   0.291748E+00
   60.00   25.00   25.00   0.268147E+00
   65.00   25.00   25.00   0.260638E+00
   70.00   25.00   25.00   0.259929E+00
   75.00   25.00   25.00   0.247012E+00
   80.00   25.00   25.00   0.224129E+00
   85.00   25.00   25.00   0.938732E+00
   90.00   25.00   25.00   0.106902E+01
    0.00   30.00   25.00   0.152076E+01
    5.00   30.00   25.00   0.149127E+01
   10.00   30.00   25.00   0.164065E+01
   15.00   30.00   25.00   0.170314E+01
   20.00   30.00   25.00   0.162701E+01
   25.00   30.00   25.00   0.159006E+01
   30.00   30.00   25.00   0.149724E+01
   35.00   30.00   25.00   0.212737E+00
   40.00   30.00   25.00   0.256755E+00
   45.00   30.00   25.00   0.271693E+00
   50.00   30.00   25.00   0.268539E+00
   55.00   30.00   25.00   0.248339E+00
   60.00   30.00   25.00   0.240175E+00
   65.00   30.00   25.00   0.250495E+00
   70.00   30.00   25.00   0.222837E+00
   75.00   30.00   25.00   0.998909E+00
   80.00   30.00   25.00   0.995346E+00
   85.00   30.00   25.00   0.107577E+01
   90.00   30.00   25.00   0.883534E+00
    0.00   35.00   25.00   0.108455E+01
    5.00   35.00   25.00   0.109739E+01
   10.00   35.00   25.00   0.117218E+01
   15.00   35.00   25.00   0.121340E+01
   20.00   35.00   25.00   0.108278E+01
   25.00   35.00   25.00   0.102028E+01
   30.00   35.00   25.00   0.159685E+00
   35.00   35.00   25.00   0.930916E-01
   40.00   35.00   25.00   0.845941E-01
   45.00   35.00   25.00   0.937752E-01
   50.00   35.00   25.00   0.974449E-01
   55.00   35.00   25.00   0.915792E-01
   60.00   35.00   25.00   0.892196E-01
   65.00   35.00   25.00   0.921119E-01
   70.00   35.00   25.00   0.795616E-01
   75.00   35.00   25.00   0.661032E-01
   80.00   35.00   25.00   0.782283E-01
   85.00   35.00   25.00   0.970309E+00
   90.00   35.00   25.00   0.745394E+00
    0.00   40.00   25.00   0.125596E+01
    5.00   40.00   25.00   0.121377E+01
   10.00   40.00   25.00   0.125206E+01
   15.00   40.00   25.00   0.119608E+01
   20.00   40.00   25.00   0.108600E+01
   25.00   40.00   25.00   0.105156E+01
   30.00   40.00   25.00   0.638375E-01
   35.00   40.00   25.00   0.572066E-01
   40.00   40.00   25.00   0.698007E-01
   45.00   40.00   25.00   0.765500E-01
   50.00   40.00   25.00   0.672571E-01
   55.00   40.00   25.00   0.654220E-01
   60.00   40.00   25.00   0.675221E-01
   65.00   40.00   25.00   0.618606E-01
   70.00   40.00   25.00   0.464957E-01
   75.00   40.00   25.00   0.528978E-01
   80.00   40.00   25.00   0.113620E+01
   85.00   40.00   25.00   0.113149E+01
   90.00   40.00   25.00   0.139956E+01
    0.00   45.00   25.00   0.145382E+01
    5.00   45.00   25.00   0.134047E+01
   10.00   45.00   25.00   0.129279E+01
   15.00   45.00   25.00   0.125018E+01
   20.00   45.00   25.00   0.115045E+01
   25.00   45.00   25.00   0.119688E+01
   30.00   45.00   25.00   0.960174E-01
   35.00   45.00   25.00   0.120175E+00
   40.00   45.00   25.00   0.143369E+00
   45.00   45.00   25.00   0.139380E+00
   50.00   45.00   25.00   0.131789E+00
   55.00   45.00   25.00   0.126683E+00
   60.00   45.00   25.00   0.115687E+00
   65.00   45.00   25.00   0.921530E-01
   70.00   45.00   25.00   0.802733E-01
   75.00   45.00   25.00   0.126756E+01
   80.00   45.00   25.00   0.142398E+01
   85.00   45.00   25.00   0.139583E+01
   90.00   45.00   25.00   0.165345E+01
    0.00   50.00   25.00   0.125596E+01
    5.00   50.00   25.00   0.110687E+01
   10.00   50.00   25.00   0.106239E+01
   15.00   50.00   25.00   0.107472E+01
   20.00   50.00   25.00   0.100631E+00
   25.00   50.00   25.00   0.133051E+00
   30.00   50.00   25.00   0.174449E+00
   35.00   50.00   25.00   0.204184E+00
   40.00   50.00   25.00   0.232306E+00
   45.00   50.00   25.00   0.229796E+00
   50.00   50.00   25.00   0.198987E+00
   55.00   50.00   25.00   0.185001E+00
   60.00   50.00   25.00   0.147958E+00
   65.00   50.00   25.00   0.113638E+00
   70.00   50.00   25.00   0.111013E+01
   75.00   50.00   25.00   0.119002E+01
   80.00   50.00   25.00   0.128925E+01
   85.00   50.00   25.00   0.119198E+01
   90.00   50.00   25.00   0.139956E+01
    0.00   55.00   25.00   0.108455E+01
    5.00   55.00   25.00   0.947398E+00
   10.00   55.00   25.00   0.955777E+00
   15.00   55.00   25.00   0.104084E+00
   20.00   55.00   25.00   0.141263E+00
   25.00   55.00   25.00   0.180796E+00
   30.00   55.00   25.00   0.215710E+00
   35.00   55.00   25.00   0.256802E+00
   40.00   55.00   25.00   0.274605E+00
   45.00   55.00   25.00   0.234780E+00
   50.00   55.00   25.00   0.205719E+00
   55.00   55.00   25.00   0.165831E+00
   60.00   55.00   25.00   0.120043E+00
   65.00   55.00   25.00   0.120836E+01
   70.00   55.00   25.00   0.114074E+01
   75.00   55.00   25.00   0.117091E+01
   80.00   55.00   25.00   0.123088E+01
   85.00   55.00   25.00   0.112668E+01
   90.00   55.00   25.00   0.745395E+00
    0.00   60.00   25.00   0.152076E+01
    5.00   60.00   25.00   0.137805E+01
   10.00   60.00   25.00   0.126266E+00
   15.00   60.00   25.00   0.160422E+00
   20.00   60.00   25.00   0.213126E+00
   25.00   60.00   25.00   0.256773E+00
   30.00   60.00   25.00   0.297866E+00
   35.00   60.00   25.00   0.316963E+00
   40.00   60.00   25.00   0.317301E+00
   45.00   60.00   25.00   0.272961E+00
   50.00   60.00   25.00   0.198172E+00
   55.00   60.00   25.00   0.154794E+00
   60.00   60.00   25.00   0.191442E+01
   65.00   60.00   25.00   0.191622E+01
   70.00   60.00   25.00   0.178506E+01
   75.00   60.00   25.00   0.179386E+01
   80.00   60.00   25.00   0.177157E+01
   85.00   60.00   25.00   0.157748E+01
   90.00   60.00   25.00   0.883534E+00
    0.00   65.00   25.00   0.151470E+01
    5.00   65.00   25.00   0.141361E+01
   10.00   65.00   25.00   0.163005E+00
   15.00   65.00   25.00   0.228043E+00
   20.00   65.00   25.00   0.272736E+00
   25.00   65.00   25.00   0.293921E+00
   30.00   65.00   25.00   0.323135E+00
   35.00   65.00   25.00   0.346474E+00
   40.00   65.00   25.00   0.305370E+00
   45.00   65.00   25.00   0.213472E+00
   50.00   65.00   25.00   0.226059E+01
   55.00   65.00   25.00   0.211099E+01
   60.00   65.00   25.00   0.196544E+01
   65.00   65.00   25.00   0.198327E+01
   70.00   65.00   25.00   0.181665E+01
   75.00   65.00   25.00   0.169101E+01
   80.00   65.00   25.00   0.844283E+00
   85.00   65.00   25.00   0.135042E+01
   90.00   65.00   25.00   0.106902E+01
    0.00   70.00   25.00   0.151581E+01
    5.00   70.00   25.00   0.165343E+00
   10.00   70.00   25.00   0.240218E+00
   15.00   70.00   25.00   0.284746E+00
   20.00   70.00   25.00   0.288984E+00
   25.00   70.00   25.00   0.322311E+00
   30.00   70.00   25.00   0.366265E+00
   35.00   70.00   25.00   0.310131E+00
   40.00   70.00   25.00   0.227212E+00
   45.00   70.00   25.00   0.193156E+00
   50.00   70.00   25.00   0.211380E+01
   55.00   70.00   25.00   0.202117E+01
   60.00   70.00   25.00   0.191879E+01
   65.00   70.00   25.00   0.183949E+01
   70.00   70.00   25.00   0.157413E+01
   75.00   70.00   25.00   0.143931E+01
   80.00   70.00   25.00   0.829203E+00
   85.00   70.00   25.00   0.103341E+01
   90.00   70.00   25.00   0.108272E+01
    0.00   75.00   25.00   0.172397E+00
    5.00   75.00   25.00   0.241491E+00
   10.00   75.00   25.00   0.280650E+00
   15.00   75.00   25.00   0.280755E+00
   20.00   75.00   25.00   0.306096E+00
   25.00   75.00   25.00   0.349431E+00
   30.00   75.00   25.00   0.294840E+00
   35.00   75.00   25.00   0.213538E+00
   40.00   75.00   25.00   0.199275E+00
   45.00   75.00   25.00   0.182690E+01
   50.00   75.00   25.00   0.170381E+01
   55.00   75.00   25.00   0.162707E+01
   60.00   75.00   25.00   0.144568E+01
   65.00   75.00   25.00   0.995994E+00
   70.00   75.00   25.00   0.109704E+01
   75.00   75.00   25.00   0.827909E+00
   80.00   75.00   25.00   0.913605E+00
   85.00   75.00   25.00   0.894816E+00
   90.00   75.00   25.00   0.235739E+00
    0.00   80.00   25.00   0.252900E+00
    5.00   80.00   25.00   0.263737E+00
   10.00   80.00   25.00   0.249057E+00
   15.00   80.00   25.00   0.292399E+00
   20.00   80.00   25.00   0.331912E+00
   25.00   80.00   25.00   0.252739E+00
   30.00   80.00   25.00   0.187250E+00
   35.00   80.00   25.00   0.163016E+01
   40.00   80.00   25.00   0.158610E+01
   45.00   80.00   25.00   0.135222E+01
   50.00   80.00   25.00   0.124693E+01
   55.00   80.00   25.00   0.120955E+01
   60.00   80.00   25.00   0.100718E+01
   65.00   80.00   25.00   0.851079E+00
   70.00   80.00   25.00   0.834159E+00
   75.00   80.00   25.00   0.746897E+00
   80.00   80.00   25.00   0.790074E+00
   85.00   80.00   25.00   0.222193E+00
   90.00   80.00   25.00   0.256543E+00
    0.00   85.00   25.00   0.257566E+00
    5.00   85.00   25.00   0.226457E+00
   10.00   85.00   25.00   0.260301E+00
   15.00   85.00   25.00   0.290051E+00
   20.00   85.00   25.00   0.222015E+00
   25.00   85.00   25.00   0.166396E+00
   30.00   85.00   25.00   0.132487E+01
   35.00   85.00   25.00   0.133928E+01
   40.00   85.00   25.00   0.128684E+01
   45.00   85.00   25.00   0.109559E+01
   50.00   85.00   25.00   0.914622E+00
   55.00   85.00   25.00   0.761966E+00
   60.00   85.00   25.00   0.885988E+00
   65.00   85.00   25.00   0.873053E+00
   70.00   85.00   25.00   0.843998E+00
   75.00   85.00   25.00   0.825519E+00
   80.00   85.00   25.00   0.228233E+00
   85.00   85.00   25.00   0.241236E+00
   90.00   85.00   25.00   0.248326E+00
    0.00   90.00   25.00   0.215110E+00
    5.00   90.00   25.00   0.241768E+00
   10.00   90.00   25.00   0.269642E+00
   15.00   90.00   25.00   0.198372E+00
   20.00   90.00   25.00   0.123359E+01
   25.00   90.00   25.00   0.116757E+01
   30.00   90.00   25.00   0.115363E+01
   35.00   90.00   25.00   0.112127E+01
   40.00   90.00   25.00   0.110252E+01
   45.00   90.00   25.00   0.830685E+00
   50.00   90.00   25.00   0.687141E+00
   55.00   90.00   25.00   0.995855E+00
   60.00   90.00   25.00   0.926554E+00
   65.00   90.00   25.00   0.104148E+01
   70.00   90.00   25.00   0.898947E+00
   75.00   90.00   25.00   0.231273E+00
   80.00   90.00   25.00   0.255948E+00
   85.00   90.00   25.00   0.235467E+00
   90.00   90.00   25.00   0.254829E+00
    0.00    0.00   30.00   0.133022E+01
    5.00    0.00   30.00   0.147581E+01
   10.00    0.00   30.00   0.148077E+01
   15.00    0.00   30.00   0.143972E+01
   20.00    0.00   30.00   0.233093E+01
   25.00    0.00   30.00   0.231258E+01
   30.00    0.00   30.00   0.367253E-01
   35.00    0.00   30.00   0.194757E+01
   40.00    0.00   30.00   0.170036E+01
   45.00    0.00   30.00   0.133993E+01
   50.00    0.00   30.00   0.103901E+01
   55.00    0.00   30.00   0.130765E+01
   60.00    0.00   30.00   0.882572E+00
   65.00    0.00   30.00   0.792393E+00
   70.00    0.00   30.00   0.115625E+01
   75.00    0.00   30.00   0.783774E+00
   80.00    0.00   30.00   0.776490E+00
   85.00    0.00   30.00   0.782254E+00
   90.00    0.00   30.00   0.772740E+00
    0.00    5.00   30.00   0.146125E+01
    5.00    5.00   30.00   0.231336E+01
